 First iteration    2536.4628724250661             1155   2.1960717510173731     
After minimisation    2536.46  1155     2.196

  Partial chi2s 
Dataset    1    801.75(+24.74)   377  HERA1+2 NCep 920                                
Dataset    2     89.85( +4.53)    70  HERA1+2 NCep 820                                
Dataset    3    287.35(+14.23)   254  HERA1+2 NCep 575                                
Dataset    4    267.33( +8.71)   204  HERA1+2 NCep 460                                
Dataset    5    298.79( +0.01)   159  HERA1+2 NCem                                    
Dataset    6     49.18( +0.02)    39  HERA1+2 CCep                                    
Dataset    7     66.86( -2.36)    42  HERA1+2 CCem                                    
Dataset    8     10.69( +0.66)     8  ATLAS low mass DY 2011                          
Dataset    9    159.24( -5.21)    14  ATLAS 8 TeV $W^+$ +jets $W_{p_T}$               

 Correlated Chi2    460.09571106390439     
 Log penalty Chi2    45.314693205245376     
 Systematic shifts          233
  
                                Name          Shift   +/-    Error          Type
   80  sysHZComb1080                         -0.0702   +/-   0.9249        :N:M:D
   81  sysHZComb1081                         -0.3548   +/-   0.8875        :N:M:D
   82  sysHZComb1082                         -1.6494   +/-   0.8376        :N:M:D
   83  sysHZComb1083                         -3.1581   +/-   0.8901        :N:M:D
   84  sysHZComb1084                          0.2626   +/-   0.9684        :N:M:D
   85  sysHZComb1085                         -2.7441   +/-   0.8679        :N:M:D
   86  sysHZComb1086                         -2.5389   +/-   0.7912        :N:M:D
   87  sysHZComb1087                         -0.1521   +/-   0.8584        :N:M:D
   88  sysHZComb1088                          0.4722   +/-   0.9910        :N:M:D
   89  sysHZComb1089                         -0.8053   +/-   0.9607        :N:M:D
   90  sysHZComb1090                         -0.3373   +/-   0.9427        :N:M:D
   91  sysHZComb1091                          0.6911   +/-   0.8867        :N:M:D
   92  sysHZComb1092                          3.9097   +/-   0.8068        :N:M:D
   93  sysHZComb1093                         -1.3480   +/-   0.7883        :N:M:D
   94  sysHZComb1094                          0.2141   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.2826   +/-   0.8462        :N:M:D
   96  sysHZComb1096                         -0.4813   +/-   0.8948        :N:M:D
   97  sysHZComb1097                          0.6720   +/-   0.9880        :N:M:D
