#nx=3 [0.00000000000E+00,2.50000000000E+01] [2.50000000000E+01,5.00000000000E+01] [5.00000000000E+01,7.50000000000E+01] [7.50000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.25000000000E+02] [1.25000000000E+02,1.50000000000E+02] [1.50000000000E+02,1.75000000000E+02] [1.75000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.50000000000E+02] [2.50000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,6.00000000000E+02] [6.00000000000E+02,8.00000000000E+02] 
../LO/LOjob/032/00/WpJ.WpJ_LO.LO.ptw.s3200.tab.gz 0.00000000000E+00 8.34662632972E-03 8.33061224432E-03 8.33890552382E-03 8.32645469372E-03 8.33605122841E-03 8.40837828141E-03 8.34007678024E-03 8.31425235350E-03 8.33107622022E-03 8.33074833809E-03 8.33805437144E-03 8.33499427157E-03 8.40578738371E-03 8.33552723325E-03 8.33977765423E-03
../LO/LOjob/103/00/WpJ.WpJ_LO.LO.ptw.s10300.tab.gz 0.00000000000E+00 8.34965708859E-03 8.32753721378E-03 8.32849871780E-03 8.33436959183E-03 8.33057100936E-03 8.41733483363E-03 8.32540037996E-03 8.33072618964E-03 8.33470099456E-03 8.32887711364E-03 8.33326497961E-03 8.32229795026E-03 8.40612782200E-03 8.33479616181E-03 8.32165484344E-03
../LO/LOjob/074/00/WpJ.WpJ_LO.LO.ptw.s7400.tab.gz 0.00000000000E+00 8.32819790285E-03 8.33854774989E-03 8.34784030392E-03 8.34478476531E-03 8.31811279510E-03 8.41130548548E-03 8.34238634643E-03 8.33483362581E-03 8.32959514017E-03 8.33869980386E-03 8.33208480355E-03 8.33302170343E-03 8.40148963150E-03 8.34148641597E-03 8.33783946728E-03
../LO/LOjob/070/00/WpJ.WpJ_LO.LO.ptw.s7000.tab.gz 0.00000000000E+00 8.35962794987E-03 8.33884457643E-03 8.33789296794E-03 8.33356730345E-03 8.32944319285E-03 8.38623925240E-03 8.32901694224E-03 8.33345985410E-03 8.34485788290E-03 8.33242305026E-03 8.31263791281E-03 8.33169318936E-03 8.40279894010E-03 8.33190837262E-03 8.32868237664E-03
../LO/LOjob/020/00/WpJ.WpJ_LO.LO.ptw.s2000.tab.gz 0.00000000000E+00 8.36418749671E-03 8.32926314029E-03 8.33536338079E-03 8.32471156661E-03 8.32728532909E-03 8.39611946346E-03 8.31938949044E-03 8.33173538773E-03 8.33436604018E-03 8.32910353506E-03 8.33379586455E-03 8.34188034981E-03 8.41845822084E-03 8.32972484628E-03 8.33328876163E-03
../LO/LOjob/062/00/WpJ.WpJ_LO.LO.ptw.s6200.tab.gz 0.00000000000E+00 8.36859704627E-03 8.33262952199E-03 8.33394692357E-03 8.34889905441E-03 8.32627913920E-03 8.40027569816E-03 8.32951061641E-03 8.33137317563E-03 8.34021051920E-03 8.31763589814E-03 8.34005144628E-03 8.34089966033E-03 8.40881996169E-03 8.33125495303E-03 8.33478935131E-03
../LO/LOjob/019/00/WpJ.WpJ_LO.LO.ptw.s1900.tab.gz 0.00000000000E+00 8.34725885919E-03 8.32518683457E-03 8.33380156574E-03 8.32665909327E-03 8.33562990841E-03 8.42127520222E-03 8.35437323925E-03 8.33436573209E-03 8.34121993818E-03 8.32432926313E-03 8.34236959155E-03 8.33569265454E-03 8.38824118406E-03 8.32512491046E-03 8.34221248413E-03
../LO/LOjob/057/00/WpJ.WpJ_LO.LO.ptw.s5700.tab.gz 0.00000000000E+00 8.35696323743E-03 8.33318135501E-03 8.33181780021E-03 8.33735422623E-03 8.32514231047E-03 8.39392342389E-03 8.33096915102E-03 8.33297156502E-03 8.33503948080E-03 8.34076672803E-03 8.33580193787E-03 8.34596984841E-03 8.39834251093E-03 8.33710325368E-03 8.32130868445E-03
../LO/LOjob/099/00/WpJ.WpJ_LO.LO.ptw.s9900.tab.gz 0.00000000000E+00 8.30251030983E-03 8.33093562672E-03 8.34270215747E-03 8.33519307055E-03 8.34937459905E-03 8.41458817717E-03 8.34393289834E-03 8.33778508734E-03 8.32160128837E-03 8.32625200460E-03 8.32372425193E-03 8.32066329650E-03 8.39841756863E-03 8.31589440579E-03 8.33138792525E-03
../LO/LOjob/007/00/WpJ.WpJ_LO.LO.ptw.s700.tab.gz 0.00000000000E+00 8.27982324333E-03 8.33231938108E-03 8.33295007189E-03 8.34980751683E-03 8.33061138932E-03 0.00000000000E+00 8.33513055888E-03 8.33135311202E-03 8.33354175431E-03 8.33462954625E-03 8.32895130848E-03 8.30936936189E-03 8.40700361368E-03 8.33124130453E-03 8.33977661902E-03
