#nx=3 [3.00000000000E+01,4.00000000000E+01] [4.00000000000E+01,6.00000000000E+01] [6.00000000000E+01,8.00000000000E+01] [8.00000000000E+01,1.00000000000E+02] [1.00000000000E+02,1.20000000000E+02] [1.20000000000E+02,1.40000000000E+02] [1.40000000000E+02,1.60000000000E+02] [1.60000000000E+02,1.80000000000E+02] [1.80000000000E+02,2.00000000000E+02] [2.00000000000E+02,2.20000000000E+02] [2.20000000000E+02,2.40000000000E+02] [2.40000000000E+02,2.60000000000E+02] [2.60000000000E+02,2.80000000000E+02] [2.80000000000E+02,3.00000000000E+02] [3.00000000000E+02,3.50000000000E+02] [3.50000000000E+02,4.00000000000E+02] [4.00000000000E+02,4.50000000000E+02] [4.50000000000E+02,5.00000000000E+02] [5.00000000000E+02,5.50000000000E+02] [5.50000000000E+02,6.00000000000E+02] [6.00000000000E+02,7.00000000000E+02] [7.00000000000E+02,1.00000000000E+03] 
../LO/LOjob/044/00/WpJ.WpJ_LO.LO.ptj1.s4400.tab.gz 8.27311580224E-03 8.33640517689E-03 8.33112867103E-03 8.33241281353E-03 8.40091392836E-03 8.32792089936E-03 8.39931060282E-03 8.33827186892E-03 8.33971378340E-03 8.32961256451E-03 8.35060973654E-03 8.41416356624E-03 8.32983376065E-03 8.29558405676E-03 8.35594855050E-03 8.33887130134E-03 8.34005694383E-03 8.40674235560E-03 8.34003334422E-03 8.32266888112E-03 8.32972571887E-03 8.31762954133E-03
../LO/LOjob/086/00/WpJ.WpJ_LO.LO.ptj1.s8600.tab.gz 8.32994674604E-03 8.34208547177E-03 8.31957541370E-03 8.34491005260E-03 8.40143782612E-03 8.32659618566E-03 8.40988558667E-03 8.33512818763E-03 8.32784810177E-03 8.34138450844E-03 8.33452453076E-03 8.39495648076E-03 8.34668350853E-03 8.31782427207E-03 8.34123422520E-03 8.33159639698E-03 8.33245180646E-03 8.41219744607E-03 8.32658409728E-03 8.34785877861E-03 8.33366986001E-03 8.33497161598E-03
../LO/LOjob/082/00/WpJ.WpJ_LO.LO.ptj1.s8200.tab.gz 8.32312189056E-03 8.33376754294E-03 8.34003353880E-03 8.33885457876E-03 8.41156135170E-03 8.33339935361E-03 8.39853778401E-03 8.31616783740E-03 8.33814896963E-03 8.34270731688E-03 8.32849400291E-03 8.40936302517E-03 8.35273578278E-03 8.34148302948E-03 8.33672668225E-03 8.34989436459E-03 8.33546659835E-03 8.40244778302E-03 8.33870189936E-03 8.32584067430E-03 8.32509056554E-03 8.33223036581E-03
../LO/LOjob/107/00/WpJ.WpJ_LO.LO.ptj1.s10700.tab.gz 8.30283968862E-03 8.33237208730E-03 8.33397446839E-03 8.33158954027E-03 8.39528624305E-03 8.34068599116E-03 8.39137918924E-03 8.34839556036E-03 8.32374140990E-03 8.34331173028E-03 8.33430667832E-03 8.39449347544E-03 8.33259009235E-03 8.32863075638E-03 8.34284882284E-03 8.33591193171E-03 8.34172792069E-03 8.40172353007E-03 8.32892302705E-03 8.33948389484E-03 8.31829909725E-03 8.34889189601E-03
../LO/LOjob/032/00/WpJ.WpJ_LO.LO.ptj1.s3200.tab.gz 8.34924798646E-03 8.33523653558E-03 8.33054718984E-03 8.33838314456E-03 8.39702585185E-03 8.33298146412E-03 8.41260232406E-03 8.33180335331E-03 8.34451885867E-03 8.31002028366E-03 8.32014728937E-03 8.38449282607E-03 8.33767965615E-03 8.33291193914E-03 8.33074833809E-03 8.33805437144E-03 8.33499427157E-03 8.40578738371E-03 8.34073159061E-03 8.32157419183E-03 8.34391117499E-03 8.31839512833E-03
../LO/LOjob/103/00/WpJ.WpJ_LO.LO.ptj1.s10300.tab.gz 8.35324262083E-03 8.33332662825E-03 8.33004181692E-03 8.32573901893E-03 8.40646423340E-03 8.33027560996E-03 8.40112908909E-03 8.34784328761E-03 8.31898136954E-03 8.32909578885E-03 8.33050304456E-03 8.40919362125E-03 8.33254834227E-03 8.33913124592E-03 8.32887711364E-03 8.33326497961E-03 8.32229795026E-03 8.40612782200E-03 8.33452936889E-03 8.33556466492E-03 8.31887140676E-03 8.33515450939E-03
../LO/LOjob/074/00/WpJ.WpJ_LO.LO.ptj1.s7400.tab.gz 8.32958276045E-03 8.32654112056E-03 8.34550845080E-03 8.34226268710E-03 8.41611437668E-03 8.32695464694E-03 8.39137836138E-03 8.34807559874E-03 8.33738107324E-03 8.33400772720E-03 8.33890890380E-03 8.39653519011E-03 8.33084152768E-03 8.32904672284E-03 8.33869980386E-03 8.33208480355E-03 8.33302170343E-03 8.40148963150E-03 8.33914364925E-03 8.34756469278E-03 8.33784717012E-03 8.33723170689E-03
../LO/LOjob/070/00/WpJ.WpJ_LO.LO.ptj1.s7000.tab.gz 8.37033593584E-03 8.32530039963E-03 8.34099294253E-03 8.34160617852E-03 8.40447729241E-03 8.32786627533E-03 8.40588063244E-03 8.32420242786E-03 8.32347957466E-03 8.32485756846E-03 8.34445419620E-03 8.42202452972E-03 8.33566896293E-03 8.36398643430E-03 8.33242305026E-03 8.31263791281E-03 8.33169318936E-03 8.40279894010E-03 8.33157611040E-03 8.33262998621E-03 8.32733403844E-03 8.33646108116E-03
../LO/LOjob/020/00/WpJ.WpJ_LO.LO.ptj1.s2000.tab.gz 8.36929131103E-03 8.34114284256E-03 8.32722724200E-03 8.33281976566E-03 8.39504960669E-03 8.32286125529E-03 8.40745928201E-03 8.32575521088E-03 8.32049743881E-03 8.33809730141E-03 8.31945771907E-03 8.39931522938E-03 8.33391832603E-03 8.33745962507E-03 8.32910353506E-03 8.33379586455E-03 8.34188034981E-03 8.41845822084E-03 8.32747576665E-03 8.33576067397E-03 8.33438281722E-03 8.32324067884E-03
../LO/LOjob/062/00/WpJ.WpJ_LO.LO.ptj1.s6200.tab.gz 8.37649340688E-03 8.33733332008E-03 8.33379185449E-03 8.33293541750E-03 8.41828429572E-03 8.33254453854E-03 8.41523768791E-03 8.32683384318E-03 8.32957729539E-03 8.34088521971E-03 8.31316343121E-03 8.40418091654E-03 8.33452119654E-03 8.33930970072E-03 8.31763589814E-03 8.34005144628E-03 8.34089966033E-03 8.40881996169E-03 8.32636271269E-03 8.34437402734E-03 8.33487893608E-03 8.33442896636E-03
