0	0.1	1.03
0.1	0.2	1.03
0.2	0.3	1.026
0.3	0.4	1.028
0.4	0.5	1.028
0.5	0.6	1.029
0.6	0.7	1.031
0.7	0.8	1.031
0.8	0.9	1.03
0.9	1	1.029
1	1.2	1.0245
1.2	1.3	1.031
1.3	1.4	1.023
1.4	1.5	1.028
1.5	1.6	1.024
1.6	1.7	1.026
1.7	1.8	1.02
1.8	1.9	1.025
1.9	2	1.027
2	2.1	1.029
2.1	2.2	1.027
2.2	2.3	1.025
2.3	2.4	1.038
2.4	2.5	1.022
2.5	2.6	1.026
2.6	2.7	1.039
2.7	2.8	1.03
2.8	2.9	1.041
2.9	3	1.043
3	3.1	1.041
3.1	3.2	1.048
3.2	3.3	1.048
3.3	3.4	1.034
3.4	3.5	1.038
3.5	3.6	1.042
3.6	3.7	1.056
3.7	3.8	1.03
3.8	3.9	1.03
3.9	4	1.031
4	4.2	1.03
4.2	4.4	0.9835
