#labels: abs_yj1_var_lower[1] abs_yj1_var_center[2] abs_yj1_var_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9]
#neval: 6120000000
#overflow:lower center upper 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 
0.00000000000E+00 5.00000000000E-02 1.00000000000E-01 1.60291695106E+05 5.57843446922E+02 1.71060778406E+05 6.71164086104E+02 1.51711702461E+05 4.70190163704E+02 
1.00000000000E-01 1.50000000000E-01 2.00000000000E-01 1.59666235817E+05 6.81240439835E+02 1.70345958820E+05 8.19698303682E+02 1.51146680777E+05 5.73323039163E+02 
2.00000000000E-01 2.50000000000E-01 3.00000000000E-01 1.59401680629E+05 6.90740423102E+02 1.70171859514E+05 8.30913262983E+02 1.50827250672E+05 5.81377840376E+02 
3.00000000000E-01 3.50000000000E-01 4.00000000000E-01 1.56338531394E+05 6.75988937912E+02 1.66622966004E+05 8.13451232769E+02 1.48133787711E+05 5.68835697977E+02 
4.00000000000E-01 4.50000000000E-01 5.00000000000E-01 1.55986837771E+05 6.77476976757E+02 1.66420687707E+05 8.14547129246E+02 1.47678828162E+05 5.70517885108E+02 
5.00000000000E-01 5.50000000000E-01 6.00000000000E-01 1.55559420494E+05 7.01126934375E+02 1.66244838297E+05 8.43173864190E+02 1.47062610694E+05 5.90213314383E+02 
6.00000000000E-01 6.50000000000E-01 7.00000000000E-01 1.52644620755E+05 6.61811089915E+02 1.63041884759E+05 7.96844617939E+02 1.44379263675E+05 5.56739597850E+02 
7.00000000000E-01 7.50000000000E-01 8.00000000000E-01 1.48709994187E+05 6.65091018399E+02 1.58724674125E+05 7.99833263604E+02 1.40750863102E+05 5.60074880926E+02 
8.00000000000E-01 8.50000000000E-01 9.00000000000E-01 1.46393784425E+05 6.78453515253E+02 1.56391539817E+05 8.15388733237E+02 1.38457035827E+05 5.71547900199E+02 
9.00000000000E-01 9.50000000000E-01 1.00000000000E+00 1.43072729014E+05 6.67401312385E+02 1.52901486624E+05 8.02520142897E+02 1.35305652936E+05 5.61971712058E+02 
1.00000000000E+00 1.10000000000E+00 1.20000000000E+00 1.36753979538E+05 3.71651822506E+02 1.46116394488E+05 4.47379996542E+02 1.29357975092E+05 3.13184497979E+02 
1.20000000000E+00 1.25000000000E+00 1.30000000000E+00 1.29976823505E+05 6.32379314932E+02 1.38909875140E+05 7.60734316445E+02 1.22944629538E+05 5.32468040232E+02 
1.30000000000E+00 1.35000000000E+00 1.40000000000E+00 1.25734402648E+05 6.15342047668E+02 1.34377844736E+05 7.41425261214E+02 1.18911990015E+05 5.17563288743E+02 
1.40000000000E+00 1.45000000000E+00 1.50000000000E+00 1.21660114134E+05 6.09479030342E+02 1.30237936997E+05 7.35999000556E+02 1.14909363283E+05 5.11737945036E+02 
