#labels: abs_yj1_var_lower[1] abs_yj1_var_center[2] abs_yj1_var_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9]
#neval: 12688800000
#overflow:lower center upper 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 
0.00000000000E+00 5.00000000000E-02 1.00000000000E-01 1.65849701398E+05 1.75174015809E+03 1.66637537435E+05 2.36082364953E+03 1.63371686598E+05 1.33600687910E+03 
1.00000000000E-01 1.50000000000E-01 2.00000000000E-01 1.60646085079E+05 1.72532239798E+03 1.60224826223E+05 2.48448724611E+03 1.59340924263E+05 1.31775846893E+03 
2.00000000000E-01 2.50000000000E-01 3.00000000000E-01 1.63499421776E+05 1.57949338764E+03 1.64201249806E+05 2.17342220791E+03 1.61263741738E+05 1.21318034610E+03 
3.00000000000E-01 3.50000000000E-01 4.00000000000E-01 1.60450376982E+05 1.71678485491E+03 1.60034297677E+05 2.11393483670E+03 1.58852209257E+05 1.32336773944E+03 
4.00000000000E-01 4.50000000000E-01 5.00000000000E-01 1.56116184646E+05 2.19725388256E+03 1.55060993840E+05 2.96290060296E+03 1.55905871205E+05 1.20386418571E+03 
5.00000000000E-01 5.50000000000E-01 6.00000000000E-01 1.59274615969E+05 1.55014087764E+03 1.60104795940E+05 2.05672711489E+03 1.56923873385E+05 1.18510104011E+03 
6.00000000000E-01 6.50000000000E-01 7.00000000000E-01 1.58657049509E+05 1.91608437470E+03 1.59980563507E+05 2.57785206665E+03 1.53135565844E+05 1.28461493408E+03 
7.00000000000E-01 7.50000000000E-01 8.00000000000E-01 1.52834977980E+05 1.58844550160E+03 1.51021126250E+05 2.44638499123E+03 1.50929915953E+05 1.23971894928E+03 
8.00000000000E-01 8.50000000000E-01 9.00000000000E-01 1.49534150124E+05 1.63575406264E+03 1.50774047917E+05 2.29846794456E+03 1.47734003286E+05 1.17770964310E+03 
9.00000000000E-01 9.50000000000E-01 1.00000000000E+00 1.43515895661E+05 2.00115291704E+03 1.43976383814E+05 2.25262914615E+03 1.42668000361E+05 1.49462317015E+03 
1.00000000000E+00 1.10000000000E+00 1.20000000000E+00 1.38281435235E+05 1.21664672509E+03 1.37754909259E+05 1.56200299714E+03 1.37431056375E+05 8.07759315672E+02 
1.20000000000E+00 1.25000000000E+00 1.30000000000E+00 1.32407752709E+05 1.44662968231E+03 1.31958413664E+05 2.13264843244E+03 1.31052349201E+05 1.10968698821E+03 
1.30000000000E+00 1.35000000000E+00 1.40000000000E+00 1.27223978647E+05 1.43307964922E+03 1.27254761480E+05 1.97524130618E+03 1.25950861578E+05 1.47472098936E+03 
1.40000000000E+00 1.45000000000E+00 1.50000000000E+00 1.21171133336E+05 1.80861588288E+03 1.18922199368E+05 2.33498424372E+03 1.19637885793E+05 1.44900679301E+03 
1.50000000000E+00 1.55000000000E+00 1.60000000000E+00 1.15930259643E+05 1.51588917764E+03 1.15175889293E+05 2.11106298696E+03 1.15286840887E+05 1.14771480574E+03 
1.60000000000E+00 1.65000000000E+00 1.70000000000E+00 1.12203266511E+05 1.74930114050E+03 1.12354802080E+05 2.36261316603E+03 1.10939234132E+05 1.29368285878E+03 
1.70000000000E+00 1.75000000000E+00 1.80000000000E+00 1.06211880505E+05 1.44264919777E+03 1.05980467945E+05 1.95201783736E+03 1.05008776581E+05 1.09909798892E+03 
1.80000000000E+00 1.85000000000E+00 1.90000000000E+00 9.74760915467E+04 1.86800678660E+03 9.71349884910E+04 2.20592800833E+03 9.70735363896E+04 1.41924732558E+03 
1.90000000000E+00 1.95000000000E+00 2.00000000000E+00 9.33408315803E+04 1.49745276524E+03 9.28597504017E+04 1.86320772761E+03 9.26729865223E+04 1.18860047657E+03 
2.00000000000E+00 2.05000000000E+00 2.10000000000E+00 8.75381566053E+04 1.18915408068E+03 8.50668144696E+04 2.03079346186E+03 8.66415251378E+04 9.35459741989E+02 
2.10000000000E+00 2.15000000000E+00 2.20000000000E+00 8.37378071450E+04 1.44781488420E+03 8.37851586609E+04 1.95485173651E+03 8.14399456756E+04 8.79514510527E+02 
2.20000000000E+00 2.25000000000E+00 2.30000000000E+00 7.70841788704E+04 1.14255203706E+03 7.76315593227E+04 1.54321972751E+03 7.60064543040E+04 8.74927044024E+02 
2.30000000000E+00 2.35000000000E+00 2.40000000000E+00 6.92755853934E+04 1.08078548194E+03 6.88827614157E+04 1.45409646530E+03 6.83182245338E+04 1.23361580408E+03 
2.40000000000E+00 2.45000000000E+00 2.50000000000E+00 6.30552959454E+04 1.35831133115E+03 6.37129365519E+04 1.50941620498E+03 6.33522336381E+04 8.51542642968E+02 
2.50000000000E+00 2.55000000000E+00 2.60000000000E+00 6.00911914495E+04 1.09277561420E+03 5.87323961123E+04 1.51878574350E+03 5.86536510610E+04 7.69827363751E+02 
2.60000000000E+00 2.65000000000E+00 2.70000000000E+00 5.31107908508E+04 9.58648161717E+02 5.26040858175E+04 1.40956090331E+03 5.26321171850E+04 7.34247448174E+02 
2.70000000000E+00 2.75000000000E+00 2.80000000000E+00 4.89114910133E+04 1.04561370232E+03 4.98384421123E+04 1.44651381276E+03 4.80576600606E+04 8.11614706147E+02 
2.80000000000E+00 2.85000000000E+00 2.90000000000E+00 4.30743987159E+04 1.02165319107E+03 4.15370603951E+04 1.50799906250E+03 4.19093948353E+04 7.09851756022E+02 
