 First iteration    4022.7291502854646             1138   3.5349113798642042     
After minimisation    4022.73  1138     3.535

  Partial chi2s 
Dataset    1   1529.85(-19.05)   377  HERA1+2 NCep 920                                
Dataset    2    111.99( -5.41)    70  HERA1+2 NCep 820                                
Dataset    3    317.41(-22.13)   254  HERA1+2 NCep 575                                
Dataset    4    357.25(-18.94)   204  HERA1+2 NCep 460                                
Dataset    5    719.08( -3.95)   159  HERA1+2 NCem                                    
Dataset    6    102.40( +1.10)    39  HERA1+2 CCep                                    
Dataset    7    105.01( -2.00)    42  HERA1+2 CCem                                    
Dataset    8      5.95( -0.77)     6  ATLAS DY mass 2010 extended data                

 Correlated Chi2    844.92335063400390     
 Log penalty Chi2   -71.138730674061406     
 Systematic shifts          176
  
                                Name          Shift   +/-    Error          Type
   81  sysHZComb1081                         -2.1634   +/-   0.8886        :N:M:D
   82  sysHZComb1082                         -1.3338   +/-   0.8402        :N:M:D
   83  sysHZComb1083                         -1.3570   +/-   0.8915        :N:M:D
   84  sysHZComb1084                         -0.1762   +/-   0.9683        :N:M:D
   85  sysHZComb1085                         -0.6900   +/-   0.8701        :N:M:D
   86  sysHZComb1086                          4.3500   +/-   0.7939        :N:M:D
   87  sysHZComb1087                         -3.4012   +/-   0.8614        :N:M:D
   88  sysHZComb1088                          0.5171   +/-   0.9913        :N:M:D
   89  sysHZComb1089                         -0.2149   +/-   0.9614        :N:M:D
   90  sysHZComb1090                          0.7462   +/-   0.9434        :N:M:D
   91  sysHZComb1091                          1.4838   +/-   0.8885        :N:M:D
   92  sysHZComb1092                         -0.7278   +/-   0.8132        :N:M:D
   93  sysHZComb1093                          0.0368   +/-   0.7940        :N:M:D
   94  sysHZComb1094                          0.0442   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -2.0881   +/-   0.8466        :N:M:D
   96  sysHZComb1096                          2.0217   +/-   0.8949        :N:M:D
   97  sysHZComb1097                          0.2045   +/-   0.9882        :N:M:D
   98  sysHZComb1098                          4.5092   +/-   0.7375        :N:M:D
   99  sysHZComb1099                         -0.5408   +/-   0.6866        :N:M:D
  100  sysHZComb1100                         -1.5304   +/-   0.6925        :N:M:D
  101  sysHZComb1101                          2.9985   +/-   0.7748        :N:M:D
  102  sysHZComb1102                         -1.2738   +/-   0.9027        :N:M:D
  103  sysHZComb1103                          0.3321   +/-   0.7929        :N:M:D
  104  sysHZComb1104                         -0.3290   +/-   0.7980        :N:M:D
  105  sysHZComb1105                         -1.9437   +/-   0.7004        :N:M:D
  106  sysHZComb1106                         -2.4851   +/-   0.7755        :N:M:D
  107  sysHZComb1107                          0.3688   +/-   0.7449        :N:M:D
  108  sysHZComb1108                          1.2346   +/-   0.6849        :N:M:D
  109  sysHZComb1109                          0.5566   +/-   0.9901        :N:M:D
  110  sysHZComb1110                         -5.4789   +/-   0.7079        :N:M:D
  111  sysHZComb1111                         -1.1802   +/-   0.5558        :N:M:D
  112  sysHZComb1112                         -0.7383   +/-   0.9905        :N:M:D
  113  sysHZComb1113                          2.1953   +/-   0.8393        :N:M:D
  114  sysHZComb1114                         -0.6342   +/-   0.8087        :N:M:D
  115  sysHZComb1115                         -2.8765   +/-   0.7615        :N:M:D
  116  sysHZComb1116                          0.8406   +/-   0.7770        :N:M:D
  117  sysHZComb1117                          2.1752   +/-   0.8222        :N:M:D
  118  sysHZComb1118                          0.3041   +/-   0.9967        :N:M:D
  119  sysHZComb1119                          0.1134   +/-   0.9753        :N:M:D
  120  sysHZComb1120                         -1.0732   +/-   0.8551        :N:M:D
  121  sysHZComb1121                         -0.3251   +/-   0.9902        :N:M:D
  122  sysHZComb1122                          3.0017   +/-   0.9337        :N:M:D
  123  sysHZComb1123                          1.6205   +/-   0.9299        :N:M:D
  124  sysHZComb1124                          1.2628   +/-   0.8651        :N:M:D
  125  sysHZComb1125                          1.6291   +/-   0.8733        :N:M:D
  126  sysHZComb1126                          0.3752   +/-   0.9197        :N:M:D
  127  sysHZComb1127                          2.4453   +/-   0.9253        :N:M:D
  128  sysHZComb1128                         -0.6606   +/-   0.9563        :N:M:D
  129  sysHZComb1129                          0.1246   +/-   0.8607        :N:M:D
  130  sysHZComb1130                         -0.1872   +/-   0.8113        :N:M:D
  131  sysHZComb1131                         -5.6117   +/-   0.7942        :N:M:D
  132  sysHZComb1132                          9.6473   +/-   0.7918        :N:M:D
  133  sysHZComb1133                         -3.3144   +/-   0.8258        :N:M:D
  134  sysHZComb1134                         -0.0432   +/-   0.9791        :N:M:D
  135  sysHZComb1135                          0.9381   +/-   0.8216        :N:M:D
  136  sysHZComb1136                          0.5302   +/-   0.8804        :N:M:D
  137  sysHZComb1137                          1.6405   +/-   0.8865        :N:M:D
  138  sysHZComb1138                          3.3818   +/-   0.9208        :N:M:D
  139  sysHZComb1139                          0.5866   +/-   0.9428        :N:M:D
  140  sysHZComb1140                          0.0397   +/-   0.9586        :N:M:D
  141  sysHZComb1141                         -0.3357   +/-   0.9719        :N:M:D
  142  sysHZComb1142                          2.7013   +/-   0.8615        :N:M:D
