 First iteration    15461.481497209101             1132   13.658552559371998     
After minimisation   15461.48  1132    13.659

  Partial chi2s 
Dataset    1   5954.32(-59.22)   377  HERA1+2 NCep 920                                
Dataset    2    368.92(-14.61)    70  HERA1+2 NCep 820                                
Dataset    3    688.81(-55.13)   254  HERA1+2 NCep 575                                
Dataset    4   1114.41(-43.99)   204  HERA1+2 NCep 460                                
Dataset    5   2791.36( -7.71)   159  HERA1+2 NCem                                    
Dataset    6    286.53( +1.87)    39  HERA1+2 CCep                                    
Dataset    7    233.98( -1.73)    42  HERA1+2 CCem                                    

 Correlated Chi2    4203.6582013596380     
 Log penalty Chi2   -180.50887527955862     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   21  sysHZComb1021                         -1.0793   +/-   0.9758        :N:M:D
   22  sysHZComb1022                          0.5799   +/-   0.9697        :N:M:D
   23  sysHZComb1023                         -5.5746   +/-   0.9477        :N:M:D
   24  sysHZComb1024                          0.3646   +/-   0.9881        :N:M:D
   25  sysHZComb1025                          1.0366   +/-   0.9936        :N:M:D
   26  sysHZComb1026                         -1.8102   +/-   0.9253        :N:M:D
   27  sysHZComb1027                          2.0732   +/-   0.9572        :N:M:D
   28  sysHZComb1028                         -1.4648   +/-   0.9762        :N:M:D
   29  sysHZComb1029                         -3.6373   +/-   0.9225        :N:M:D
   30  sysHZComb1030                          3.8277   +/-   0.9459        :N:M:D
   31  sysHZComb1031                          3.3666   +/-   0.8477        :N:M:D
   32  sysHZComb1032                          1.8727   +/-   0.9661        :N:M:D
   33  sysHZComb1033                         -0.6760   +/-   0.9721        :N:M:D
   34  sysHZComb1034                          1.0979   +/-   0.9846        :N:M:D
   35  sysHZComb1035                         -3.0576   +/-   0.9788        :N:M:D
   36  sysHZComb1036                         -0.5197   +/-   0.9758        :N:M:D
   37  sysHZComb1037                          1.5640   +/-   0.9716        :N:M:D
   38  sysHZComb1038                          4.0776   +/-   0.9168        :N:M:D
   39  sysHZComb1039                          3.6829   +/-   0.9564        :N:M:D
   40  sysHZComb1040                         -4.0554   +/-   0.9334        :N:M:D
   41  sysHZComb1041                         -1.8463   +/-   0.8274        :N:M:D
   42  sysHZComb1042                         -2.9069   +/-   0.8832        :N:M:D
   43  sysHZComb1043                        -11.2744   +/-   0.9134        :N:M:D
   44  sysHZComb1044                          1.4955   +/-   0.9388        :N:M:D
   45  sysHZComb1045                          8.4695   +/-   0.9331        :N:M:D
   46  sysHZComb1046                          6.6172   +/-   0.9585        :N:M:D
