 First iteration    4258.4314728655290             1178   3.6149672944529110     
After minimisation    4258.43  1178     3.615

  Partial chi2s 
Dataset    1    556.48(+17.51)   377  HERA1+2 NCep 920                                
Dataset    2     69.27( +2.59)    70  HERA1+2 NCep 820                                
Dataset    3    243.57( +8.53)   254  HERA1+2 NCep 575                                
Dataset    4    225.54( +4.56)   204  HERA1+2 NCep 460                                
Dataset    5    244.16( -0.09)   159  HERA1+2 NCem                                    
Dataset    6     46.12( +0.18)    39  HERA1+2 CCep                                    
Dataset    7     61.22( -2.26)    42  HERA1+2 CCem                                    
Dataset    8      6.17( +0.35)     6  ATLAS DY mass 2010 extended data                
Dataset    9   2336.79( +0.00)    41  ATLAS 8 TeV $W^+$ +jets jet 1 rap               

 Correlated Chi2    437.74682476575651     
 Log penalty Chi2    31.368350012596036     
 Systematic shifts          227
  
                                Name          Shift   +/-    Error          Type
   26  sysHZComb1026                         -0.8949   +/-   0.9192        :N:M:D
   27  sysHZComb1027                         -1.9373   +/-   0.9539        :N:M:D
   28  sysHZComb1028                          1.4227   +/-   0.9747        :N:M:D
   29  sysHZComb1029                          0.4631   +/-   0.9179        :N:M:D
   30  sysHZComb1030                         -1.1077   +/-   0.9434        :N:M:D
   31  sysHZComb1031                         -2.6321   +/-   0.8376        :N:M:D
   32  sysHZComb1032                          0.0867   +/-   0.9640        :N:M:D
   33  sysHZComb1033                          0.8480   +/-   0.9707        :N:M:D
   34  sysHZComb1034                         -0.1358   +/-   0.9840        :N:M:D
   35  sysHZComb1035                          0.3822   +/-   0.9781        :N:M:D
   36  sysHZComb1036                         -0.9664   +/-   0.9739        :N:M:D
   37  sysHZComb1037                         -0.1969   +/-   0.9700        :N:M:D
   38  sysHZComb1038                         -2.1740   +/-   0.9120        :N:M:D
   39  sysHZComb1039                         -1.5533   +/-   0.9530        :N:M:D
   40  sysHZComb1040                          0.8079   +/-   0.9298        :N:M:D
   41  sysHZComb1041                         -0.6092   +/-   0.8106        :N:M:D
   42  sysHZComb1042                          0.0291   +/-   0.8733        :N:M:D
   43  sysHZComb1043                          2.2981   +/-   0.9090        :N:M:D
   44  sysHZComb1044                         -0.4276   +/-   0.9365        :N:M:D
   45  sysHZComb1045                         -1.9815   +/-   0.9307        :N:M:D
